"","view"
"panoramic",0.2
"top",0.16
"walk",0.14
"beautiful",0.13
"nice",0.13
"enjoy",0.12
"rooms",0.12
"views",0.12
"balcony",0.11
"climb",0.11
"hill",0.11
"can",0.1
"good",0.1
"great",0.1
"offers",0.1
"room",0.1
"amazing",0.09
"place",0.09
"sea",0.09
"see",0.09
"steps",0.09
"terrace",0.09
"breakfast",0.08
"clean",0.08
"clear",0.08
"cliff",0.08
"deck",0.08
"excellent",0.08
"floor",0.08
"food",0.08
"gives",0.08
"hike",0.08
"hostel",0.08
"hotel",0.08
"mountain",0.08
"owner",0.08
"private",0.08
"restaurant",0.08
"roof",0.08
"rs",0.08
"side",0.08
"spacious",0.08
"steep",0.08
"tourist",0.08
"walking",0.08
"wonderful",0.08
"around",0.07
"beach",0.07
"best",0.07
"cliffs",0.07
"day",0.07
"end",0.07
"free",0.07
"friendly",0.07
"front",0.07
"get",0.07
"inside",0.07
"meters",0.07
"path",0.07
"quiet",0.07
"rooftop",0.07
"splendid",0.07
"spot",0.07
"stairs",0.07
"stunning",0.07
"sunset",0.07
"swimming",0.07
"time",0.07
"whole",0.07
"will",0.07
"worth",0.07
