"","dinner"
"lunch",0.35
"breakfast",0.2
"menu",0.19
"restaurant",0.19
"dining",0.17
"bar",0.15
"brunch",0.14
"open",0.14
"casual",0.13
"room",0.13
"buffet",0.12
"chef",0.12
"entrees",0.12
"food",0.12
"live",0.12
"night",0.12
"patio",0.12
"sandwiches",0.12
"saturday",0.12
"seating",0.12
"specials",0.12
"sushi",0.12
"course",0.11
"family",0.11
"featuring",0.11
"free",0.11
"fresh",0.11
"full",0.11
"gourmet",0.11
"italian",0.11
"offers",0.11
"outdoor",0.11
"variety",0.11
"american",0.1
"atmosphere",0.1
"cafe",0.1
"favorite",0.1
"friday",0.1
"friendly",0.1
"fun",0.1
"great",0.1
"grill",0.1
"homemade",0.1
"house",0.1
"indoor",0.1
"inn",0.1
"nightly",0.1
"rd",0.1
"seafood",0.1
"selection",0.1
"serves",0.1
"shop",0.1
"steak",0.1
"store",0.1
"sunday",0.1
"baked",0.09
"blvd",0.09
"classic",0.09
"closed",0.09
"cuisine",0.09
"delicious",0.09
"dishes",0.09
"drinks",0.09
"features",0.09
"guests",0.09
"lounge",0.09
"meal",0.09
"mexican",0.09
"music",0.09
"offer",0.09
"per",0.09
"pizza",0.09
"plus",0.09
"right",0.09
"romantic",0.09
"rooms",0.09
"serving",0.09
"steakhouse",0.09
"street",0.09
"style",0.09
"wine",0.09
"appetizers",0.08
"authentic",0.08
"bakery",0.08
"bed",0.08
"bistro",0.08
"chicken",0.08
"coffee",0.08
"day",0.08
"days",0.08
"deli",0.08
"downtown",0.08
"enjoy",0.08
"fine",0.08
"golf",0.08
"grab",0.08
"hot",0.08
"intimate",0.08
"monday",0.08
"parking",0.08
"pasta",0.08
"perfect",0.08
"phone",0.08
"reasonable",0.08
"salad",0.08
"selections",0.08
"special",0.08
"specialty",0.08
"su",0.08
"suite",0.08
"suites",0.08
"take-",0.08
"tavern",0.08
"tours",0.08
"tuesday",0.08
"afternoon",0.07
"banquet",0.07
"check",0.07
"club",0.07
"cream",0.07
"crowd",0.07
"daily",0.07
"decor",0.07
"diner",0.07
"dinners",0.07
"eat",0.07
"garden",0.07
"including",0.07
"kitchen",0.07
"light",0.07
"make",0.07
"meals",0.07
"order",0.07
"pool",0.07
"prices",0.07
"round",0.07
"st",0.07
"staff",0.07
"steaks",0.07
"table",0.07
"tables",0.07
"theater",0.07
"thursday",0.07
"wireless",0.07
