"","regular"
"services",0.15
"service",0.14
"bus",0.12
"buses",0.11
"trains",0.11
"centre",0.1
"flights",0.1
"london",0.09
"offer",0.09
"pubs",0.09
"run",0.09
"station",0.09
"transport",0.09
"also",0.08
"available",0.08
"book",0.08
"fare",0.08
"journey",0.08
"major",0.08
"number",0.08
"operate",0.08
"outside",0.08
"railway",0.08
"range",0.08
"tickets",0.08
"train",0.08
"airport",0.07
"clubs",0.07
"cost",0.07
"expensive",0.07
"fares",0.07
"generally",0.07
"less",0.07
"routes",0.07
"ticket",0.07
"times",0.07
