"","dish"
"eaten",0.21
"dishes",0.19
"meat",0.18
"spicy",0.17
"boiled",0.16
"fried",0.16
"pork",0.16
"rice",0.16
"cooked",0.15
"made",0.14
"stew",0.14
"sweet",0.14
"fermented",0.13
"soup",0.13
"beef",0.12
"common",0.12
"flour",0.12
"garlic",0.12
"prepared",0.12
"sauce",0.12
"seasoned",0.12
"spices",0.12
"coconut",0.11
"milk",0.11
"mixed",0.11
"often",0.11
"raw",0.11
"steamed",0.11
"try",0.11
"usually",0.11
"cake",0.1
"chicken",0.1
"countries",0.1
"dried",0.1
"egg",0.1
"especially",0.1
"foreign",0.1
"ginger",0.1
"language",0.1
"like",0.1
"typical",0.1
"version",0.1
"added",0.09
"ask",0.09
"cities",0.09
"currency",0.09
"curry",0.09
"dialect",0.09
"different",0.09
"english",0.09
"even",0.09
"fish",0.09
"generally",0.09
"grilled",0.09
"juice",0.09
"noodles",0.09
"prepaid",0.09
"roasted",0.09
"serve",0.09
"served",0.09
"sim",0.09
"similar",0.09
"sometimes",0.09
"sour",0.09
"speak",0.09
"tender",0.09
"vegetables",0.09
"visa",0.09
"widely",0.09
"wrapped",0.09
"accept",0.08
"another",0.08
"banana",0.08
"bean",0.08
"beans",0.08
"called",0.08
"cheap",0.08
"chili",0.08
"commonly",0.08
"consumed",0.08
"dessert",0.08
"drink",0.08
"expensive",0.08
"filling",0.08
"find",0.08
"found",0.08
"herbs",0.08
"instead",0.08
"kind",0.08
"lamb",0.08
"languages",0.08
"locals",0.08
"noodle",0.08
"pay",0.08
"prices",0.08
"quite",0.08
"rarely",0.08
"rate",0.08
"signature",0.08
"spoken",0.08
"tasty",0.08
"tend",0.08
"tomato",0.08
"topped",0.08
"type",0.08
"typically",0.08
"used",0.08
"varieties",0.08
"variety",0.08
"vegetable",0.08
"widespread",0.08
"alcohol",0.07
"always",0.07
"buy",0.07
"considered",0.07
"delicious",0.07
"domestic",0.07
"dough",0.07
"drivers",0.07
"embassy",0.07
"european",0.07
"famous",0.07
"foreigners",0.07
"imported",0.07
"make",0.07
"money",0.07
"mostly",0.07
"order",0.07
"passport",0.07
"police",0.07
"popular",0.07
"sure",0.07
"without",0.07
