"","casual"
"dining",0.24
"lunch",0.15
"menu",0.14
"dinner",0.13
"featuring",0.13
"bar",0.12
"grill",0.12
"sandwiches",0.12
"seating",0.12
"american",0.11
"atmosphere",0.11
"downtown",0.11
"outdoor",0.11
"patio",0.11
"restaurant",0.11
"ave",0.1
"features",0.1
"fun",0.1
"gourmet",0.1
"indoor",0.1
"inn",0.1
"lounge",0.1
"offers",0.1
"selection",0.1
"upscale",0.1
"authentic",0.09
"bistro",0.09
"brunch",0.09
"chef",0.09
"classic",0.09
"cuisine",0.09
"deli",0.09
"eclectic",0.09
"favorite",0.09
"fine",0.09
"golf",0.09
"great",0.09
"grille",0.09
"italian",0.09
"live",0.09
"mexican",0.09
"parking",0.09
"pizza",0.09
"salads",0.09
"seafood",0.09
"specials",0.09
"variety",0.09
"baseball",0.08
"blvd",0.08
"breakfast",0.08
"cafe",0.08
"clothing",0.08
"diner",0.08
"dr",0.08
"eatery",0.08
"entrees",0.08
"family",0.08
"flavors",0.08
"food",0.08
"full",0.08
"mile",0.08
"open",0.08
"pasta",0.08
"phone",0.08
"rd",0.08
"store",0.08
"stores",0.08
"sushi",0.08
"tavern",0.08
"appetizers",0.07
"arts",0.07
"boutique",0.07
"club",0.07
"delicious",0.07
"events",0.07
"fitness",0.07
"items",0.07
"kids",0.07
"ocean",0.07
"st",0.07
"street",0.07
"suites",0.07
