"","fax"
"email",0.46
"content",0.41
"address",0.39
"directions",0.31
"tel",0.18
"price",0.14
"'''hotel",0.09
"dei",0.09
"long",0.09
"name",0.09
"hours",0.07
"piazza",0.07
"sat",0.07
