"","swedish"
"sweden",0.44
"finnish",0.21
"nordic",0.13
"viking",0.13
"europe's",0.11
"banner",0.09
"danish",0.09
"engine",0.09
"norway",0.09
"search",0.09
"dominant",0.08
"forests",0.08
"mains",0.08
"travelled",0.08
"connection",0.07
"hockey",0.07
"industrial",0.07
"largest",0.07
"populous",0.07
"province",0.07
"tickets",0.07
"trains",0.07
