"","cathedral"
"century",0.16
"medieval",0.15
"church",0.14
"gothic",0.14
"romanesque",0.14
"churches",0.13
"city",0.13
"roman",0.13
"museum",0.12
"baroque",0.11
"saint",0.11
"walls",0.11
"basilica",0.1
"building",0.1
"built",0.1
"city's",0.1
"oldest",0.1
"orthodox",0.1
"russian",0.1
"tower",0.1
"buildings",0.09
"catholic",0.09
"centre",0.09
"de",0.09
"founded",0.09
"frescoes",0.09
"moscow",0.09
"bishop",0.08
"capital",0.08
"convent",0.08
"decorated",0.08
"example",0.08
"lady",0.08
"modern",0.08
"monastery",0.08
"painter",0.08
"rebuilt",0.08
"russia",0.08
"square",0.08
"survived",0.08
"trinity",0.08
"chapel",0.07
"destroyed",0.07
"erected",0.07
"monument",0.07
"nicholas",0.07
"old",0.07
"palace",0.07
"piazza",0.07
"rue",0.07
"squares",0.07
"trains",0.07
