"","university"
"campus",0.4
"students",0.3
"student",0.29
"college",0.28
"arts",0.16
"downtown",0.16
"colleges",0.15
"home",0.15
"academic",0.14
"music",0.14
"science",0.14
"art",0.13
"football",0.13
"stadium",0.13
"american",0.12
"city's",0.12
"live",0.12
"state",0.12
"center",0.11
"cities",0.11
"education",0.11
"institute",0.11
"liberal",0.11
"mall",0.11
"medical",0.11
"school",0.11
"shopping",0.11
"streets",0.11
"technology",0.11
"theater",0.11
"theatre",0.11
"venues",0.11
"beer",0.1
"business",0.1
"city",0.1
"collection",0.1
"concert",0.1
"convention",0.1
"dance",0.1
"events",0.1
"free",0.1
"library",0.1
"major",0.1
"men's",0.1
"performing",0.1
"programs",0.1
"public",0.1
"street",0.1
"system",0.1
"teams",0.1
"transit",0.1
"united",0.1
"ave",0.09
"avenue",0.09
"bar",0.09
"bars",0.09
"bookstore",0.09
"card",0.09
"clubs",0.09
"coffee",0.09
"corner",0.09
"crowd",0.09
"especially",0.09
"features",0.09
"floor",0.09
"hall",0.09
"hosts",0.09
"largest",0.09
"league",0.09
"museum",0.09
"often",0.09
"oldest",0.09
"research",0.09
"routes",0.09
"sports",0.09
"su",0.09
"team",0.09
"variety",0.09
"areas",0.08
"atmosphere",0.08
"baseball",0.08
"basketball",0.08
"beers",0.08
"building",0.08
"central",0.08
"chain",0.08
"common",0.08
"concerts",0.08
"crime",0.08
"cultural",0.08
"diverse",0.08
"electronic",0.08
"enterprise",0.08
"event",0.08
"exhibits",0.08
"featuring",0.08
"founded",0.08
"games",0.08
"gay",0.08
"generally",0.08
"historic",0.08
"history",0.08
"hockey",0.08
"includes",0.08
"indoor",0.08
"jazz",0.08
"law",0.08
"lines",0.08
"menu",0.08
"metro",0.08
"new",0.08
"nightlife",0.08
"nights",0.08
"outdoor",0.08
"park",0.08
"pedestrian",0.08
"performers",0.08
"provides",0.08
"regional",0.08
"selection",0.08
"served",0.08
"serves",0.08
"service",0.08
"shows",0.08
"square",0.08
"st",0.08
"throughout",0.08
"traffic",0.08
"upscale",0.08
"urban",0.08
"vegan",0.08
"vegetarian",0.08
"venue",0.08
"vibrant",0.08
"zoo",0.08
"america's",0.07
"among",0.07
"arena",0.07
"bands",0.07
"call",0.07
"cheap",0.07
"cinema",0.07
"club",0.07
"dishes",0.07
"domestic",0.07
"eclectic",0.07
"every",0.07
"f-sa",0.07
"fare",0.07
"higher",0.07
"include",0.07
"including",0.07
"known",0.07
"large",0.07
"list",0.07
"locations",0.07
"memorial",0.07
"million",0.07
"modern",0.07
"museums",0.07
"number",0.07
"parks",0.07
"player",0.07
"relatively",0.07
"scene",0.07
"second",0.07
"serve",0.07
"serving",0.07
"sidewalk",0.07
"specialty",0.07
"state's",0.07
"stores",0.07
"studies",0.07
"suites",0.07
"trendy",0.07
"use",0.07
"usually",0.07
