"","can"
"get",0.3
"find",0.24
"take",0.24
"also",0.23
"go",0.22
"will",0.22
"see",0.21
"around",0.2
"buy",0.19
"found",0.18
"reached",0.18
"bus",0.17
"one",0.17
"ask",0.16
"reach",0.16
"walk",0.16
"like",0.15
"make",0.15
"taxi",0.15
"want",0.15
"cost",0.14
"easily",0.14
"enjoy",0.14
"good",0.14
"visit",0.14
"buses",0.13
"lot",0.13
"nice",0.13
"places",0.13
"quite",0.13
"rent",0.13
"seen",0.13
"taxis",0.13
"trip",0.13
"try",0.13
"costs",0.12
"eat",0.12
"even",0.12
"many",0.12
"need",0.12
"people",0.12
"prices",0.12
"stay",0.12
"usually",0.12
"way",0.12
"'s",0.11
"another",0.11
"arrange",0.11
"best",0.11
"catch",0.11
"cheap",0.11
"either",0.11
"leave",0.11
"may",0.11
"night",0.11
"pay",0.11
"place",0.11
"price",0.11
"really",0.11
"ride",0.11
"sure",0.11
"takes",0.11
"time",0.11
"train",0.11
"always",0.1
"available",0.1
"bit",0.1
"boat",0.1
"bought",0.1
"day",0.1
"different",0.1
"driver",0.1
"expensive",0.1
"food",0.1
"going",0.1
"hire",0.1
"local",0.1
"offer",0.1
"option",0.1
"per",0.1
"small",0.1
"tourist",0.1
"travel",0.1
"use",0.1
"view",0.1
"'re",0.09
"accessed",0.09
"beautiful",0.09
"better",0.09
"called",0.09
"car",0.09
"cheaper",0.09
"check",0.09
"come",0.09
"drink",0.09
"help",0.09
"hired",0.09
"hotels",0.09
"hour",0.09
"hours",0.09
"just",0.09
"little",0.09
"made",0.09
"might",0.09
"much",0.09
"next",0.09
"sell",0.09
"shops",0.09
"station",0.09
"ticket",0.09
"tickets",0.09
"top",0.09
"watch",0.09
"water",0.09
"able",0.08
"almost",0.08
"anywhere",0.08
"back",0.08
"bars",0.08
"big",0.08
"bring",0.08
"choose",0.08
"climb",0.08
"depending",0.08
"drinks",0.08
"especially",0.08
"every",0.08
"getting",0.08
"give",0.08
"hike",0.08
"journey",0.08
"know",0.08
"less",0.08
"locals",0.08
"look",0.08
"morning",0.08
"must",0.08
"near",0.08
"often",0.08
"person",0.08
"pick",0.08
"possible",0.08
"relax",0.08
"rented",0.08
"right",0.08
"sometimes",0.08
"speak",0.08
"spend",0.08
"swim",0.08
"taking",0.08
"things",0.08
"tour",0.08
"tourists",0.08
"transport",0.08
"walking",0.08
"without",0.08
"'ll",0.07
"although",0.07
"arranged",0.07
"avoid",0.07
"away",0.07
"boats",0.07
"booked",0.07
"cheapest",0.07
"difficult",0.07
"directly",0.07
"done",0.07
"expect",0.07
"guide",0.07
"hard",0.07
"money",0.07
"purchased",0.07
"return",0.07
"several",0.07
"staying",0.07
"trips",0.07
"well",0.07
"whole",0.07
