"","dorm"
"hostel",0.25
"beds",0.16
"dorms",0.15
"double",0.15
"room",0.15
"rooms",0.14
"backpacker",0.13
"bathroom",0.13
"shared",0.13
"friendly",0.12
"laundry",0.12
"per",0.12
"private",0.12
"bed",0.11
"owner",0.11
"clean",0.1
"cost",0.1
"internet",0.1
"kitchen",0.1
"price",0.1
"staff",0.1
"blocks",0.09
"driver",0.09
"ensuite",0.09
"free",0.09
"helpful",0.09
"hostels",0.09
"lessons",0.09
"night",0.09
"person",0.09
"pesos",0.09
"single",0.09
"wi-fi",0.09
"arrange",0.08
"ask",0.08
"bathrooms",0.08
"bit",0.08
"book",0.08
"breakfast",0.08
"cable",0.08
"calle",0.08
"carrier",0.08
"cheap",0.08
"cheapest",0.08
"drop",0.08
"pay",0.08
"prices",0.08
"rooftop",0.08
"tv",0.08
"usd",0.08
"wifi",0.08
"budget",0.07
"cheaper",0.07
"day",0.07
"doubles",0.07
"expect",0.07
"expensive",0.07
"guide",0.07
"make",0.07
"nice",0.07
"owners",0.07
"right",0.07
"shower",0.07
"stay",0.07
"want",0.07
