"","states"
"united",0.41
"state",0.18
"american",0.15
"national",0.13
"us",0.13
"mexico",0.12
"neighbor",0.12
"regions",0.12
"state's",0.12
"america's",0.11
"common",0.11
"federal",0.11
"interstate",0.11
"laws",0.11
"major",0.11
"america",0.1
"americans",0.1
"areas",0.1
"crime",0.1
"generally",0.1
"historic",0.1
"native",0.1
"cities",0.09
"citizens",0.09
"illegal",0.09
"law",0.09
"new",0.09
"register",0.09
"airlines",0.08
"carriers",0.08
"countries",0.08
"discuss",0.08
"diverse",0.08
"equal",0.08
"highways",0.08
"home",0.08
"largest",0.08
"legal",0.08
"miles",0.08
"military",0.08
"nation",0.08
"nation's",0.08
"pages",0.08
"severe",0.08
"throughout",0.08
"violent",0.08
"washington",0.08
"york",0.08
"academy",0.07
"accent",0.07
"amtrak",0.07
"apply",0.07
"cowboy",0.07
"downtown",0.07
"driving",0.07
"fe",0.07
"mexican",0.07
"nearly",0.07
"plains",0.07
"serious",0.07
"service",0.07
"widely",0.07
