"","campus"
"university",0.4
"college",0.34
"students",0.22
"student",0.2
"downtown",0.17
"academic",0.14
"arts",0.14
"performing",0.13
"liberal",0.12
"teams",0.12
"art",0.11
"ave",0.11
"football",0.11
"stadium",0.11
"transit",0.11
"american",0.1
"colleges",0.1
"games",0.1
"live",0.1
"mall",0.1
"men's",0.1
"music",0.1
"st",0.1
"street",0.1
"theater",0.1
"amtrak",0.09
"avenue",0.09
"bar",0.09
"basketball",0.09
"bookstore",0.09
"convention",0.09
"events",0.09
"favorite",0.09
"free",0.09
"home",0.09
"indoor",0.09
"inn",0.09
"institute",0.09
"league",0.09
"marriott",0.09
"school",0.09
"science",0.09
"state",0.09
"su",0.09
"baseball",0.08
"brewing",0.08
"business",0.08
"center",0.08
"concerts",0.08
"dance",0.08
"exhibits",0.08
"features",0.08
"hosts",0.08
"interstate",0.08
"pizza",0.08
"programs",0.08
"serves",0.08
"service",0.08
"sidewalk",0.08
"specials",0.08
"sports",0.08
"suites",0.08
"team",0.08
"united",0.08
"upscale",0.08
"venues",0.08
"walnut",0.08
"acts",0.07
"bands",0.07
"blvd",0.07
"coffee",0.07
"community",0.07
"education",0.07
"featuring",0.07
"greyhound",0.07
"library",0.07
"nights",0.07
"public",0.07
"research",0.07
"rotating",0.07
"selection",0.07
"sushi",0.07
"symphony",0.07
