"","wait"
"driver",0.16
"ask",0.15
"expect",0.15
"pay",0.15
"taxi",0.14
"will",0.14
"get",0.13
"leave",0.13
"may",0.13
"need",0.13
"passport",0.13
"price",0.13
"prices",0.13
"'re",0.12
"cost",0.12
"drivers",0.12
"expensive",0.12
"might",0.12
"money",0.12
"passengers",0.12
"prepared",0.12
"taxis",0.12
"usually",0.12
"waiting",0.12
"want",0.12
"always",0.11
"better",0.11
"bring",0.11
"cheaper",0.11
"even",0.11
"front",0.11
"least",0.11
"leaving",0.11
"make",0.11
"paying",0.11
"sure",0.11
"advance",0.1
"avoid",0.1
"bags",0.1
"bit",0.1
"buy",0.1
"cards",0.1
"charge",0.1
"depending",0.1
"fill",0.1
"food",0.1
"generally",0.1
"go",0.1
"luggage",0.1
"often",0.1
"person",0.1
"queue",0.1
"sell",0.1
"sometimes",0.1
"staff",0.1
"try",0.1
"trying",0.1
"unless",0.1
"'ll",0.09
"'s",0.09
"accept",0.09
"arrive",0.09
"back",0.09
"buses",0.09
"card",0.09
"catch",0.09
"cheap",0.09
"check",0.09
"come",0.09
"day",0.09
"departure",0.09
"drop",0.09
"either",0.09
"extra",0.09
"extremely",0.09
"fare",0.09
"find",0.09
"getting",0.09
"give",0.09
"keep",0.09
"know",0.09
"mind",0.09
"much",0.09
"order",0.09
"per",0.09
"pick",0.09
"rather",0.09
"return",0.09
"right",0.09
"sim",0.09
"stamp",0.09
"terminal",0.09
"ticket",0.09
"time",0.09
"visa",0.09
"way",0.09
"without",0.09
"able",0.08
"agree",0.08
"another",0.08
"aware",0.08
"baggage",0.08
"book",0.08
"carry",0.08
"cheapest",0.08
"clean",0.08
"costs",0.08
"difficult",0.08
"entrance",0.08
"especially",0.08
"exchange",0.08
"fee",0.08
"fixed",0.08
"foreign",0.08
"friendly",0.08
"going",0.08
"help",0.08
"higher",0.08
"hours",0.08
"idea",0.08
"internet",0.08
"less",0.08
"let",0.08
"like",0.08
"locals",0.08
"long",0.08
"longer",0.08
"look",0.08
"metered",0.08
"must",0.08
"next",0.08
"night",0.08
"note",0.08
"offer",0.08
"option",0.08
"payment",0.08
"people",0.08
"phones",0.08
"police",0.08
"quite",0.08
"rate",0.08
"remember",0.08
"require",0.08
"ride",0.08
"room",0.08
"rules",0.08
"shared",0.08
"side",0.08
"slightly",0.08
"take",0.08
"tell",0.08
"tend",0.08
"though",0.08
"tickets",0.08
"traffic",0.08
"trip",0.08
"typically",0.08
"use",0.08
"walk",0.08
"willing",0.08
"although",0.07
"anything",0.07
"arrange",0.07
"atm",0.07
"basic",0.07
"beer",0.07
"beware",0.07
"boarding",0.07
"budget",0.07
"buying",0.07
"careful",0.07
"change",0.07
"companies",0.07
"consider",0.07
"credit",0.07
"currency",0.07
"customs",0.07
"days",0.07
"deal",0.07
"decent",0.07
"decide",0.07
"drink",0.07
"drinks",0.07
"full",0.07
"good",0.07
"likely",0.07
"little",0.07
"never",0.07
"normal",0.07
"normally",0.07
"outside",0.07
"overpriced",0.07
"passports",0.07
"probably",0.07
"rarely",0.07
"required",0.07
"rooms",0.07
"seats",0.07
"see",0.07
"seem",0.07
"similar",0.07
"sit",0.07
"spend",0.07
