"","rice"
"fried",0.2
"noodles",0.2
"dish",0.16
"eaten",0.15
"chicken",0.14
"coconut",0.14
"curry",0.14
"dishes",0.14
"steamed",0.14
"boiled",0.13
"cooked",0.13
"spicy",0.13
"sweet",0.13
"bamboo",0.12
"chinese",0.12
"fermented",0.12
"noodle",0.12
"made",0.11
"meat",0.11
"milk",0.11
"pork",0.11
"rp",0.11
"sauce",0.11
"soup",0.11
"sour",0.11
"terraces",0.11
"ask",0.1
"banana",0.1
"bean",0.1
"beef",0.1
"cake",0.1
"curries",0.1
"fields",0.1
"jalan",0.1
"stalls",0.1
"temples",0.1
"vegetables",0.1
"cost",0.09
"dried",0.09
"english",0.09
"famous",0.09
"flour",0.09
"food",0.09
"indonesian",0.09
"japanese",0.09
"malaysia",0.09
"means",0.09
"mixed",0.09
"stall",0.09
"staple",0.09
"varieties",0.09
"vegetable",0.09
"vietnamese",0.09
"wrapped",0.09
"another",0.08
"balls",0.08
"bangkok",0.08
"bowl",0.08
"buddhist",0.08
"china",0.08
"clean",0.08
"dong",0.08
"eating",0.08
"especially",0.08
"foreign",0.08
"fruit",0.08
"fruits",0.08
"government",0.08
"grilled",0.08
"like",0.08
"malaysian",0.08
"minority",0.08
"motorbike",0.08
"pay",0.08
"peanut",0.08
"price",0.08
"raw",0.08
"tea",0.08
"temple",0.08
"thailand",0.08
"try",0.08
"usually",0.08
"various",0.08
"version",0.08
"will",0.08
"bags",0.07
"ban",0.07
"buddha",0.07
"charge",0.07
"consumed",0.07
"driver",0.07
"egg",0.07
"hong",0.07
"hr",0.07
"juice",0.07
"make",0.07
"meal",0.07
"popular",0.07
"prices",0.07
"served",0.07
"thai",0.07
"ubiquitous",0.07
"widely",0.07
"women",0.07
