"","dock"
"boat",0.17
"boats",0.14
"docks",0.14
"island",0.14
"cruise",0.13
"harbor",0.13
"launch",0.13
"ships",0.13
"ferry",0.12
"sound",0.12
"ferries",0.11
"horseshoe",0.1
"marina",0.1
"kayak",0.09
"marine",0.09
"saltwater",0.09
"campsites",0.08
"caribbean",0.08
"cove",0.08
"crab",0.08
"fishing",0.08
"islands",0.08
"kayaking",0.08
"shoreline",0.08
"yacht",0.08
"actively",0.07
"bay",0.07
"beach",0.07
"charters",0.07
"island's",0.07
"private",0.07
"sand",0.07
"ship",0.07
"underwater",0.07
"water",0.07
