"","course"
"golf",0.5
"par",0.24
"club",0.21
"courses",0.17
"hole",0.17
"holes",0.13
"dinner",0.11
"menu",0.11
"restaurant",0.11
"bar",0.1
"designed",0.1
"open",0.1
"rd",0.1
"dining",0.09
"features",0.09
"fun",0.09
"lunch",0.09
"outdoor",0.09
"pro",0.09
"putting",0.09
"sports",0.09
"yards",0.09
"creek",0.08
"family",0.08
"full",0.08
"green",0.08
"indoor",0.08
"inn",0.08
"offers",0.08
"park",0.08
"st",0.08
"street",0.08
"tennis",0.08
"arts",0.07
"buffet",0.07
"events",0.07
"fine",0.07
"free",0.07
"house",0.07
"live",0.07
"practice",0.07
