"","works"
"art",0.19
"artists",0.15
"gallery",0.14
"collection",0.13
"artist",0.12
"exhibition",0.11
"painting",0.11
"paintings",0.11
"building",0.1
"sculpture",0.1
"artistic",0.09
"iron",0.09
"museum",0.09
"painter",0.09
"sculptures",0.09
"work",0.09
"arts",0.08
"built",0.08
"century",0.08
"city's",0.08
"closed",0.08
"decorated",0.08
"decorative",0.08
"galleries",0.08
"modern",0.08
"monumental",0.08
"opened",0.08
"permanent",0.08
"fine",0.07
"floor",0.07
"free",0.07
"glass",0.07
"hall",0.07
"housed",0.07
"houses",0.07
"made",0.07
"music",0.07
"palace",0.07
