"","bargaining"
"drivers",0.11
"insist",0.11
"buying",0.1
"depending",0.1
"price",0.1
"taxis",0.1
"touts",0.1
"avoid",0.09
"buy",0.09
"driver",0.09
"egyptian",0.09
"luggage",0.09
"travellers",0.09
"anything",0.08
"asking",0.08
"bargain",0.08
"cash",0.08
"charge",0.08
"cost",0.08
"currency",0.08
"exchange",0.08
"foreign",0.08
"foreigners",0.08
"give",0.08
"markets",0.08
"money",0.08
"pay",0.08
"paying",0.08
"practice",0.08
"prices",0.08
"rate",0.08
"sell",0.08
"taxi",0.08
"visa",0.08
"visas",0.08
"without",0.08
"arranged",0.07
"cheap",0.07
"cheaper",0.07
"clothes",0.07
"commission",0.07
"common",0.07
"countries",0.07
"customs",0.07
"expect",0.07
"expensive",0.07
"fixed",0.07
"might",0.07
"police",0.07
"reportedly",0.07
"tend",0.07
"vendors",0.07
"women",0.07
