"","streets"
"narrow",0.14
"bars",0.13
"shopping",0.13
"shops",0.13
"buildings",0.12
"city's",0.12
"drivers",0.12
"street",0.12
"cafes",0.11
"cobbled",0.11
"expensive",0.11
"find",0.11
"modern",0.11
"pedestrian",0.11
"square",0.11
"traffic",0.11
"university",0.11
"avoid",0.1
"cheap",0.1
"clubs",0.1
"every",0.1
"grid",0.1
"music",0.1
"night",0.1
"old",0.1
"public",0.1
"try",0.1
"worth",0.1
"addresses",0.09
"almost",0.09
"always",0.09
"art",0.09
"avenues",0.09
"building",0.09
"business",0.09
"busy",0.09
"cheaper",0.09
"crowded",0.09
"downtown",0.09
"especially",0.09
"even",0.09
"fares",0.09
"floor",0.09
"free",0.09
"front",0.09
"generally",0.09
"good",0.09
"houses",0.09
"lanes",0.09
"lined",0.09
"look",0.09
"many",0.09
"often",0.09
"outside",0.09
"parking",0.09
"plaza",0.09
"prices",0.09
"safe",0.09
"selling",0.09
"sometimes",0.09
"stores",0.09
"students",0.09
"usually",0.09
"walking",0.09
"although",0.08
"ask",0.08
"aware",0.08
"behind",0.08
"block",0.08
"card",0.08
"cards",0.08
"center",0.08
"check",0.08
"common",0.08
"corner",0.08
"crowd",0.08
"de",0.08
"drink",0.08
"european",0.08
"excellent",0.08
"exchange",0.08
"fashion",0.08
"feel",0.08
"food",0.08
"friendly",0.08
"jazz",0.08
"know",0.08
"la",0.08
"late",0.08
"like",0.08
"lines",0.08
"live",0.08
"make",0.08
"market",0.08
"medieval",0.08
"might",0.08
"nightlife",0.08
"note",0.08
"number",0.08
"numbered",0.08
"offer",0.08
"police",0.08
"seem",0.08
"selection",0.08
"sell",0.08
"serving",0.08
"side",0.08
"slightly",0.08
"stadium",0.08
"staff",0.08
"still",0.08
"student",0.08
"sure",0.08
"system",0.08
"tap",0.08
"taxis",0.08
"throughout",0.08
"ticket",0.08
"tickets",0.08
"tram",0.08
"tree-lined",0.08
"typical",0.08
"typically",0.08
"urban",0.08
"use",0.08
"used",0.08
"variety",0.08
"walls",0.08
"wander",0.08
"work",0.08
"young",0.08
"accept",0.07
"become",0.07
"beer",0.07
"beginning",0.07
"best",0.07
"bit",0.07
"blocks",0.07
"buy",0.07
"cars",0.07
"central",0.07
"companies",0.07
"concerts",0.07
"dance",0.07
"discount",0.07
"drinks",0.07
"driver",0.07
"end",0.07
"events",0.07
"expect",0.07
"filled",0.07
"floors",0.07
"foreign",0.07
"found",0.07
"inside",0.07
"internet",0.07
"keep",0.07
"large",0.07
"locals",0.07
"locations",0.07
"machines",0.07
"making",0.07
"mostly",0.07
"names",0.07
"newer",0.07
"next",0.07
"one-way",0.07
"ones",0.07
"pay",0.07
"plays",0.07
"price",0.07
"quality",0.07
"quite",0.07
"rather",0.07
"really",0.07
"routes",0.07
"rush",0.07
"serve",0.07
"shows",0.07
"spanish",0.07
"splendid",0.07
"squares",0.07
"start",0.07
"style",0.07
"tapas",0.07
"tend",0.07
"theatre",0.07
"trendy",0.07
"wide",0.07
"without",0.07
