"","immigrants"
"settled",0.13
"arrived",0.12
"grape",0.11
"settlers",0.09
"decline",0.08
"italian",0.08
"latin",0.08
"loaded",0.08
"nuclear",0.08
"received",0.08
"unofficial",0.08
"came",0.07
"gang",0.07
"grande",0.07
"grapes",0.07
"immigrant",0.07
