"","steakhouse"
"ave",0.16
"inn",0.16
"dr",0.14
"grill",0.13
"phone",0.13
"avenue",0.12
"mexican",0.12
"st",0.12
"bar",0.11
"steak",0.11
"steaks",0.11
"f-sa",0.1
"mall",0.1
"pkwy",0.1
"rd",0.1
"street",0.1
"sushi",0.1
"dinner",0.09
"downtown",0.09
"hwy",0.09
"pizza",0.09
"rodeo",0.09
"rv",0.09
"suites",0.09
"blvd",0.08
"cafe",0.08
"convention",0.08
"depot",0.08
"features",0.08
"highway",0.08
"indoor",0.08
"jackson",0.08
"ln",0.08
"lounge",0.08
"marriott",0.08
"pro",0.08
"restaurant",0.08
"winters",0.08
"arts",0.07
"dining",0.07
"featuring",0.07
"fitness",0.07
"grab",0.07
"interstate",0.07
"live",0.07
"motel",0.07
"us",0.07
