"","plays"
"team",0.17
"host",0.16
"league",0.14
"music",0.14
"theatre",0.14
"football",0.13
"theater",0.12
"concerts",0.11
"bar",0.1
"downtown",0.1
"games",0.1
"hockey",0.1
"stadium",0.1
"teams",0.1
"arts",0.09
"clubs",0.09
"dance",0.09
"live",0.09
"play",0.09
"role",0.09
"venues",0.09
"american",0.08
"bands",0.08
"baseball",0.08
"children's",0.08
"cinemas",0.08
"classic",0.08
"club",0.08
"convention",0.08
"events",0.08
"glass",0.08
"hosts",0.08
"movie",0.08
"musical",0.08
"nightclub",0.08
"nights",0.08
"pub",0.08
"rugby",0.08
"saturday",0.08
"shopping",0.08
"shows",0.08
"stores",0.08
"street",0.08
"theaters",0.08
"throughout",0.08
"venue",0.08
"art",0.07
"atmosphere",0.07
"award",0.07
"chain",0.07
"coffee",0.07
"college",0.07
"concert",0.07
"cricket",0.07
"crowd",0.07
"dining",0.07
"features",0.07
"films",0.07
"friday",0.07
"jazz",0.07
"movies",0.07
"night",0.07
"performing",0.07
"soccer",0.07
"streets",0.07
"upscale",0.07
