"","double"
"rooms",0.32
"room",0.29
"single",0.29
"bathroom",0.26
"bathrooms",0.24
"cable",0.2
"triple",0.2
"tv",0.18
"breakfast",0.16
"per",0.16
"shared",0.16
"clean",0.15
"dorm",0.15
"internet",0.15
"pension",0.15
"hotel",0.14
"private",0.14
"person",0.13
"shower",0.13
"beds",0.12
"hostel",0.12
"night",0.12
"price",0.12
"bed",0.11
"budget",0.11
"cost",0.11
"fan",0.11
"free",0.11
"friendly",0.11
"guesthouse",0.11
"staff",0.11
"wifi",0.11
"air-con",0.1
"ask",0.1
"costs",0.1
"ensuite",0.1
"good",0.1
"kitchen",0.1
"nice",0.1
"owner",0.1
"prices",0.1
"terrace",0.1
"balcony",0.09
"bus",0.09
"buses",0.09
"dorms",0.09
"driver",0.09
"en-suite",0.09
"equipped",0.09
"extra",0.09
"laundry",0.09
"leave",0.09
"quiet",0.09
"rooftop",0.09
"simple",0.09
"standard",0.09
"suite",0.09
"twin",0.09
"wi-fi",0.09
"basic",0.08
"bath",0.08
"book",0.08
"buy",0.08
"corner",0.08
"en",0.08
"expensive",0.08
"floor",0.08
"front",0.08
"helpful",0.08
"hour",0.08
"included",0.08
"lcd",0.08
"meters",0.08
"next",0.08
"opposite",0.08
"pay",0.08
"rates",0.08
"satellite",0.08
"star",0.08
"taxi",0.08
"two",0.08
"air",0.07
"bedrooms",0.07
"bit",0.07
"cheap",0.07
"cheapest",0.07
"cosy",0.07
"decorated",0.07
"deluxe",0.07
"garden",0.07
"guest",0.07
"hot",0.07
"luggage",0.07
"money",0.07
"outside",0.07
"pool",0.07
"restaurant",0.07
"right",0.07
"season",0.07
"spacious",0.07
"taxis",0.07
"try",0.07
"walk",0.07
"want",0.07
