"","fruit"
"fresh",0.18
"juice",0.17
"juices",0.16
"fruits",0.15
"vegetables",0.15
"ask",0.1
"orchards",0.1
"stalls",0.1
"tropical",0.1
"try",0.1
"vegetable",0.1
"buy",0.09
"cheap",0.09
"coconut",0.09
"dried",0.09
"floating",0.09
"fried",0.09
"friendly",0.09
"make",0.09
"meat",0.09
"pay",0.09
"stall",0.09
"varieties",0.09
"another",0.08
"asking",0.08
"delicious",0.08
"dishes",0.08
"drink",0.08
"drinks",0.08
"drivers",0.08
"find",0.08
"food",0.08
"know",0.08
"like",0.08
"made",0.08
"market",0.08
"markets",0.08
"money",0.08
"night",0.08
"often",0.08
"price",0.08
"produce",0.08
"rice",0.08
"selling",0.08
"sweet",0.08
"will",0.08
"always",0.07
"expensive",0.07
"good",0.07
"hot",0.07
"jam",0.07
"local",0.07
"locals",0.07
"milk",0.07
"prepared",0.07
"prices",0.07
"sell",0.07
"similar",0.07
"soup",0.07
"sure",0.07
"taxis",0.07
"vendors",0.07
"visa",0.07
"without",0.07
