"","us"
"interstate",0.19
"hwy",0.18
"miles",0.18
"state",0.17
"highway",0.16
"inn",0.16
"american",0.15
"united",0.15
"county",0.14
"phone",0.14
"ave",0.13
"states",0.13
"downtown",0.12
"motel",0.12
"north",0.12
"st",0.12
"amtrak",0.11
"mexico",0.11
"personnel",0.11
"west",0.11
"courthouse",0.1
"dr",0.1
"east",0.1
"florida",0.1
"mexican",0.1
"route",0.1
"southwest",0.1
"texas",0.1
"commercial",0.09
"depot",0.09
"dollars",0.09
"johnson",0.09
"rv",0.09
"suites",0.09
"air",0.08
"airlines",0.08
"america",0.08
"center",0.08
"civilian",0.08
"college",0.08
"country",0.08
"dollar",0.08
"east-west",0.08
"golf",0.08
"grill",0.08
"historic",0.08
"home",0.08
"railroad",0.08
"register",0.08
"sales",0.08
"saloon",0.08
"service",0.08
"signage",0.08
"south",0.08
"sr",0.08
"visa",0.08
"airport'''",0.07
"americans",0.07
"blvd",0.07
"businesses",0.07
"campground",0.07
"casino",0.07
"citizens",0.07
"code",0.07
"creek",0.07
"drive",0.07
"highways",0.07
"northwest",0.07
"park",0.07
"parkway",0.07
"prairie",0.07
"primary",0.07
"ranch",0.07
"steakhouse",0.07
"visas",0.07
