"","place"
"good",0.21
"great",0.21
"nice",0.19
"food",0.18
"best",0.16
"'s",0.15
"find",0.15
"friendly",0.14
"go",0.14
"atmosphere",0.13
"get",0.13
"like",0.13
"places",0.13
"want",0.13
"always",0.12
"bar",0.12
"bit",0.12
"cheap",0.12
"delicious",0.12
"eat",0.12
"night",0.12
"people",0.12
"restaurant",0.12
"stay",0.12
"around",0.11
"beautiful",0.11
"can",0.11
"clean",0.11
"enjoy",0.11
"every",0.11
"fun",0.11
"just",0.11
"little",0.11
"looking",0.11
"one",0.11
"prices",0.11
"really",0.11
"rooms",0.11
"sit",0.11
"try",0.11
"vegetarian",0.11
"visit",0.11
"big",0.1
"buy",0.1
"come",0.1
"different",0.1
"dishes",0.1
"drink",0.1
"drinks",0.1
"even",0.1
"excellent",0.1
"make",0.1
"many",0.1
"menu",0.1
"music",0.1
"perfect",0.1
"popular",0.1
"right",0.1
"staff",0.1
"temple",0.1
"well",0.1
"worth",0.1
"'re",0.09
"also",0.09
"another",0.09
"ask",0.09
"away",0.09
"back",0.09
"bars",0.09
"coffee",0.09
"decent",0.09
"definitely",0.09
"especially",0.09
"famous",0.09
"fresh",0.09
"locals",0.09
"look",0.09
"lot",0.09
"made",0.09
"market",0.09
"quiet",0.09
"reasonable",0.09
"see",0.09
"shopping",0.09
"something",0.09
"spend",0.09
"style",0.09
"tasty",0.09
"time",0.09
"usually",0.09
"variety",0.09
"view",0.09
"walk",0.09
"watch",0.09
"available",0.08
"beer",0.08
"better",0.08
"budget",0.08
"cafe",0.08
"called",0.08
"crowd",0.08
"day",0.08
"everything",0.08
"expect",0.08
"expensive",0.08
"experience",0.08
"feel",0.08
"hotels",0.08
"huge",0.08
"india",0.08
"indian",0.08
"inside",0.08
"items",0.08
"kind",0.08
"kinds",0.08
"live",0.08
"lord",0.08
"lots",0.08
"lunch",0.08
"makes",0.08
"might",0.08
"next",0.08
"nothing",0.08
"order",0.08
"pizza",0.08
"pleasant",0.08
"pool",0.08
"pretty",0.08
"price",0.08
"quality",0.08
"quite",0.08
"relax",0.08
"resting",0.08
"room",0.08
"selection",0.08
"serves",0.08
"spot",0.08
"students",0.08
"sure",0.08
"takes",0.08
"taxis",0.08
"things",0.08
"till",0.08
"took",0.08
"top",0.08
"way",0.08
"will",0.08
"wonderful",0.08
"young",0.08
"amazing",0.07
"authentic",0.07
"birth",0.07
"book",0.07
"choice",0.07
"dance",0.07
"floor",0.07
"free",0.07
"garden",0.07
"gets",0.07
"going",0.07
"grab",0.07
"hang",0.07
"holy",0.07
"hotel",0.07
"local",0.07
"miss",0.07
"much",0.07
"offer",0.07
"option",0.07
"outside",0.07
"pay",0.07
"plenty",0.07
"probably",0.07
"quick",0.07
"relaxing",0.07
"rue",0.07
"said",0.07
"serve",0.07
"shop",0.07
"shops",0.07
"take",0.07
"whole",0.07
"wide",0.07
"without",0.07
"year",0.07
