"","bathrooms"
"cable",0.24
"double",0.24
"rooms",0.24
"bathroom",0.19
"pension",0.16
"clean",0.15
"tv",0.14
"shared",0.13
"room",0.12
"falls'''",0.11
"internet",0.11
"laundry",0.11
"private",0.11
"showers",0.11
"single",0.11
"beds",0.1
"fan",0.1
"lcd",0.1
"breakfast",0.09
"hot",0.09
"price",0.09
"bedrooms",0.08
"dorm",0.08
"en-suite",0.08
"ensuite",0.08
"equipped",0.08
"friendly",0.08
"per",0.08
"spacious",0.08
"toilet",0.08
"vans",0.08
"wifi",0.08
"arrange",0.07
"budget",0.07
"bungalows",0.07
"departing",0.07
"guesthouse",0.07
"hotel",0.07
"payment",0.07
"shower",0.07
"simple",0.07
"staff",0.07
