"","bridge"
"river",0.2
"across",0.15
"bridge'''",0.15
"suspension",0.15
"bridges",0.13
"cross",0.13
"crossing",0.13
"riverside",0.1
"spans",0.09
"bank",0.08
"banks",0.08
"longest",0.08
"road",0.08
"side",0.07
