"","coast"
"beach",0.25
"coastal",0.25
"beaches",0.2
"sea",0.19
"inland",0.15
"along",0.14
"bay",0.14
"coastline",0.14
"island",0.14
"ocean",0.14
"port",0.14
"sunshine",0.14
"harbour",0.13
"pacific",0.13
"seaside",0.13
"fishing",0.12
"sandy",0.12
"surf",0.12
"surfing",0.12
"ferries",0.11
"cape",0.1
"ferry",0.1
"islands",0.1
"marine",0.1
"sand",0.1
"seafood",0.1
"south",0.1
"waves",0.1
"diving",0.09
"fish",0.09
"gulf",0.09
"holiday",0.09
"mainland",0.09
"north",0.09
"resort",0.09
"surfers",0.09
"west",0.09
"beach'''",0.08
"cliffs",0.08
"default",0.08
"lighthouse",0.08
"peninsula",0.08
"rugged",0.08
"scuba",0.08
"southern",0.08
"stretches",0.08
"tip",0.08
"tropical",0.08
"whale",0.08
"atlantic",0.07
"beachside",0.07
"luis",0.07
"mouth",0.07
