"","deli"
"sandwiches",0.2
"pizza",0.16
"ave",0.13
"inn",0.13
"italian",0.12
"restaurant",0.12
"st",0.12
"store",0.12
"diner",0.11
"lunch",0.11
"phone",0.11
"rd",0.11
"street",0.11
"avenue",0.1
"baked",0.1
"bakery",0.1
"bar",0.1
"cafe",0.1
"cream",0.1
"dining",0.1
"gourmet",0.1
"grill",0.1
"menu",0.1
"salads",0.1
"american",0.09
"blvd",0.09
"breakfast",0.09
"casual",0.09
"downtown",0.09
"family",0.09
"sandwich",0.09
"shop",0.09
"take-",0.09
"arts",0.08
"authentic",0.08
"basketball",0.08
"bistro",0.08
"boulevard",0.08
"college",0.08
"dinner",0.08
"dr",0.08
"favorite",0.08
"food",0.08
"golf",0.08
"homemade",0.08
"ice",0.08
"indoor",0.08
"offers",0.08
"oven",0.08
"parkway",0.08
"performing",0.08
"selection",0.08
"sit-",0.08
"york",0.08
"assortment",0.07
"atmosphere",0.07
"bbq",0.07
"chain",0.07
"chamber",0.07
"coffee",0.07
"county",0.07
"f-sa",0.07
"features",0.07
"flavors",0.07
"great",0.07
"house",0.07
"miles",0.07
"open",0.07
"pub",0.07
"seating",0.07
"specialty",0.07
"tavern",0.07
"transit",0.07
