"","france"
"french",0.28
"paris",0.23
"du",0.2
"rue",0.19
"des",0.18
"le",0.18
"jean",0.17
"de",0.14
"et",0.12
"eu",0.11
"european",0.11
"la",0.11
"les",0.11
"saint",0.11
"spain",0.11
"ryanair",0.1
"uk",0.1
"europe",0.07
