"","pubs"
"pub",0.21
"centre",0.18
"london",0.18
"uk",0.17
"ales",0.14
"clubs",0.13
"shops",0.13
"irish",0.12
"pint",0.12
"services",0.12
"ale",0.11
"arms",0.11
"high",0.11
"quay",0.11
"bars",0.1
"range",0.1
"street",0.1
"walk",0.1
"abbey",0.09
"award",0.09
"bands",0.09
"busy",0.09
"chip",0.09
"cinema",0.09
"manchester",0.09
"market",0.09
"number",0.09
"real",0.09
"regular",0.09
"rugby",0.09
"shopping",0.09
"town",0.09
"trust",0.09
"victorian",0.09
"beer",0.08
"castle",0.08
"club",0.08
"coach",0.08
"cricket",0.08
"cycle",0.08
"england",0.08
"food",0.08
"friday",0.08
"good",0.08
"hall",0.08
"leisure",0.08
"links",0.08
"music",0.08
"nights",0.08
"operate",0.08
"popular",0.08
"railway",0.08
"rank",0.08
"retail",0.08
"run",0.08
"saturday",0.08
"trains",0.08
"victoria",0.08
"wales",0.08
"whilst",0.08
"winning",0.08
"although",0.07
"choice",0.07
"cider",0.07
"cosy",0.07
"council",0.07
"dublin",0.07
"football",0.07
"ireland",0.07
"motorway",0.07
"open",0.07
"premier",0.07
"queens",0.07
"serving",0.07
"takeaway",0.07
"thriving",0.07
"train",0.07
"worth",0.07
