"","orthodox"
"church",0.21
"russian",0.2
"monastery",0.18
"soviet",0.16
"trinity",0.16
"holy",0.14
"catholic",0.13
"nicholas",0.13
"synagogue",0.12
"baroque",0.11
"byzantine",0.11
"christian",0.11
"churches",0.11
"elements",0.11
"jewish",0.11
"cathedral",0.1
"convent",0.1
"fortress",0.1
"russia",0.1
"alexander",0.09
"built",0.09
"century",0.09
"greek",0.09
"ottoman",0.09
"revival",0.09
"communist",0.08
"complex",0.08
"gothic",0.08
"moscow",0.08
"paintings",0.08
"religious",0.08
"spiritual",0.08
"building",0.07
"former",0.07
"georgian",0.07
"peter",0.07
