"","violence"
"occurred",0.18
"situation",0.15
"conflict",0.14
"police",0.14
"gang",0.13
"handles",0.13
"security",0.13
"violent",0.13
"attacked",0.11
"criminal",0.11
"drug",0.11
"embassies",0.11
"government",0.11
"republic",0.11
"resulting",0.11
"safe",0.11
"citizens",0.1
"involved",0.1
"sim",0.1
"visa",0.1
"applies",0.09
"avoid",0.09
"countries",0.09
"fighting",0.09
"foreign",0.09
"groups",0.09
"islamic",0.09
"languages",0.09
"peace",0.09
"political",0.09
"recent",0.09
"theft",0.09
"un",0.09
"visas",0.09
"wants",0.09
"arabic",0.08
"armed",0.08
"attacks",0.08
"aware",0.08
"caution",0.08
"certainly",0.08
"crime",0.08
"crossings",0.08
"dangerous",0.08
"due",0.08
"embassy",0.08
"foreigners",0.08
"incidents",0.08
"issued",0.08
"killing",0.08
"legal",0.08
"money",0.08
"muslim",0.08
"official",0.08
"passport",0.08
"regions",0.08
"report",0.08
"risk",0.08
"safer",0.08
"travel",0.08
"although",0.07
"card",0.07
"common",0.07
"currency",0.07
"daytime",0.07
"ethnic",0.07
"hold",0.07
"insist",0.07
"killed",0.07
"land",0.07
"nationals",0.07
"parts",0.07
"result",0.07
"travellers",0.07
"travelling",0.07
"widespread",0.07
