"","delhi"
"india",0.25
"indian",0.18
"rickshaw",0.16
"temple",0.16
"sector",0.15
"sweets",0.15
"connected",0.14
"lord",0.13
"auto",0.12
"km",0.12
"raja",0.12
"rickshaws",0.12
"rs",0.12
"brass",0.11
"goddess",0.11
"hindu",0.11
"institute",0.11
"railway",0.11
"ac",0.1
"mumbai",0.1
"temple'''",0.1
"temples",0.1
"believed",0.09
"cuisines",0.09
"frequency",0.09
"gauge",0.09
"malls",0.09
"situated",0.09
"stand",0.09
"trunk",0.09
"'''hotel",0.08
"bazaar",0.08
"express",0.08
"famous",0.08
"holy",0.08
"nearest",0.08
"pilgrims",0.08
"sanctuary",0.08
"available",0.07
"brother",0.07
"charges",0.07
"chat",0.07
"nh",0.07
"onwards",0.07
"ruled",0.07
