"","dr"
"inn",0.26
"rd",0.26
"ave",0.25
"blvd",0.23
"st",0.2
"suites",0.19
"ln",0.18
"grill",0.15
"su",0.15
"pkwy",0.14
"sa",0.14
"steakhouse",0.14
"downtown",0.13
"f-sa",0.13
"mexican",0.13
"phone",0.13
"creek",0.12
"free",0.12
"golf",0.12
"interstate",0.12
"marriott",0.12
"bar",0.11
"bistro",0.11
"drive",0.11
"hwy",0.11
"indoor",0.11
"mall",0.11
"pizza",0.11
"american",0.1
"arts",0.1
"center",0.1
"college",0.1
"county",0.1
"dining",0.1
"exit",0.1
"features",0.1
"featuring",0.1
"miles",0.1
"motel",0.1
"outdoor",0.1
"park",0.1
"restaurant",0.1
"transit",0.1
"us",0.1
"wireless",0.1
"california",0.09
"convention",0.09
"fitness",0.09
"library",0.09
"seniors",0.09
"steak",0.09
"angeles",0.08
"avenue",0.08
"burger",0.08
"casual",0.08
"club",0.08
"commerce",0.08
"deli",0.08
"express",0.08
"freeway",0.08
"jefferson",0.08
"m-sa",0.08
"parking",0.08
"parkway",0.08
"patio",0.08
"sandwiches",0.08
"se",0.08
"sushi",0.08
"upscale",0.08
"west",0.08
"baseball",0.07
"diner",0.07
"favorite",0.07
"heated",0.07
"highway",0.07
"house",0.07
"nw",0.07
"ranch",0.07
"shopping",0.07
"state",0.07
"ste",0.07
"trolley",0.07
