"","lifts"
"ski",0.36
"lift",0.33
"skiing",0.2
"slopes",0.2
"winter",0.18
"chair",0.16
"snow",0.16
"beginner",0.14
"beginners",0.13
"chalets",0.12
"equipment",0.12
"mountain",0.11
"resort",0.11
"alpine",0.1
"downhill",0.1
"terrain",0.1
"resorts",0.09
"vertical",0.09
"advanced",0.08
"alps",0.08
"gear",0.08
"highest",0.08
"season",0.08
"olympic",0.07
"sport",0.07
