"","marriott"
"suites",0.24
"fitness",0.16
"blvd",0.15
"inn",0.15
"boulevard",0.13
"convention",0.13
"mall",0.13
"parkway",0.13
"downtown",0.12
"dr",0.12
"meeting",0.12
"business",0.11
"center",0.11
"hilton",0.11
"pkwy",0.11
"rd",0.11
"upscale",0.11
"courtyard",0.1
"features",0.1
"flags",0.1
"grille",0.1
"indoor",0.1
"american",0.09
"ave",0.09
"avenue",0.09
"campus",0.09
"drive",0.09
"f-sa",0.09
"grill",0.09
"magic",0.09
"phone",0.09
"seating",0.09
"su",0.09
"washington",0.09
"corporate",0.08
"corridor",0.08
"free",0.08
"heated",0.08
"high-speed",0.08
"italian",0.08
"metro",0.08
"pike",0.08
"plaza",0.08
"shopping",0.08
"steakhouse",0.08
"sushi",0.08
"transit",0.08
"united",0.08
"college",0.07
"exit",0.07
"favorite",0.07
"interstate",0.07
"performing",0.07
"ribs",0.07
"theater",0.07
