"","big"
"find",0.13
"like",0.13
"cheap",0.11
"every",0.11
"good",0.11
"lot",0.11
"always",0.1
"ask",0.1
"better",0.1
"biggest",0.1
"get",0.1
"go",0.1
"nice",0.1
"pay",0.1
"people",0.1
"place",0.1
"'s",0.09
"beer",0.09
"buy",0.09
"called",0.09
"different",0.09
"especially",0.09
"even",0.09
"expensive",0.09
"food",0.09
"front",0.09
"little",0.09
"look",0.09
"night",0.09
"price",0.09
"prices",0.09
"really",0.09
"usually",0.09
"will",0.09
"without",0.09
"avoid",0.08
"best",0.08
"bit",0.08
"budget",0.08
"can",0.08
"cheaper",0.08
"clean",0.08
"drink",0.08
"european",0.08
"expect",0.08
"free",0.08
"friendly",0.08
"give",0.08
"great",0.08
"huge",0.08
"internet",0.08
"know",0.08
"live",0.08
"lots",0.08
"make",0.08
"might",0.08
"money",0.08
"next",0.08
"often",0.08
"quite",0.08
"room",0.08
"sometimes",0.08
"sure",0.08
"things",0.08
"try",0.08
"want",0.08
"'ll",0.07
"'re",0.07
"another",0.07
"bars",0.07
"bigger",0.07
"book",0.07
"check",0.07
"delicious",0.07
"far",0.07
"found",0.07
"full",0.07
"hard",0.07
"hot",0.07
"kinds",0.07
"made",0.07
"meat",0.07
"music",0.07
"party",0.07
"places",0.07
"prepared",0.07
"right",0.07
"rooms",0.07
"say",0.07
"table",0.07
"use",0.07
"water",0.07
"whole",0.07
