"","students"
"student",0.31
"university",0.3
"campus",0.22
"college",0.19
"school",0.18
"adults",0.13
"art",0.13
"music",0.13
"arts",0.12
"children",0.12
"free",0.12
"teachers",0.12
"bars",0.11
"classes",0.11
"live",0.11
"variety",0.11
"atmosphere",0.1
"bar",0.1
"beer",0.1
"closed",0.1
"concerts",0.1
"crowd",0.1
"every",0.1
"menu",0.1
"seniors",0.1
"academic",0.09
"american",0.09
"beers",0.09
"coffee",0.09
"collection",0.09
"colleges",0.09
"dance",0.09
"djs",0.09
"events",0.09
"hosts",0.09
"night",0.09
"nights",0.09
"often",0.09
"open",0.09
"performers",0.09
"performing",0.09
"selection",0.09
"shows",0.09
"specials",0.09
"streets",0.09
"theatre",0.09
"ticket",0.09
"admission",0.08
"apply",0.08
"artists",0.08
"authentic",0.08
"bookstore",0.08
"card",0.08
"cards",0.08
"cheap",0.08
"check",0.08
"city's",0.08
"club",0.08
"clubs",0.08
"concert",0.08
"courses",0.08
"discounts",0.08
"downtown",0.08
"education",0.08
"english",0.08
"expensive",0.08
"find",0.08
"floor",0.08
"football",0.08
"foreign",0.08
"friday",0.08
"full",0.08
"gallery",0.08
"groups",0.08
"liberal",0.08
"library",0.08
"machines",0.08
"medical",0.08
"monthly",0.08
"museum",0.08
"number",0.08
"offers",0.08
"order",0.08
"parking",0.08
"place",0.08
"popular",0.08
"prices",0.08
"program",0.08
"programs",0.08
"quality",0.08
"sa",0.08
"saturday",0.08
"schools",0.08
"special",0.08
"square",0.08
"stadium",0.08
"study",0.08
"su",0.08
"sunday",0.08
"system",0.08
"tickets",0.08
"trendy",0.08
"usually",0.08
"valid",0.08
"vegan",0.08
"vegetarian",0.08
"always",0.07
"among",0.07
"books",0.07
"botanical",0.07
"building",0.07
"caters",0.07
"cheaper",0.07
"chocolate",0.07
"comedy",0.07
"computer",0.07
"customers",0.07
"designed",0.07
"drink",0.07
"electronic",0.07
"elementary",0.07
"european",0.07
"fare",0.07
"fares",0.07
"floors",0.07
"games",0.07
"garden",0.07
"generally",0.07
"glass",0.07
"id",0.07
"jazz",0.07
"language",0.07
"large",0.07
"lunch",0.07
"m-f",0.07
"modern",0.07
"opened",0.07
"parties",0.07
"rotating",0.07
"sandwiches",0.07
"science",0.07
"serves",0.07
"shopping",0.07
"staff",0.07
"style",0.07
"sushi",0.07
"teaching",0.07
"try",0.07
"week",0.07
"work",0.07
"year",0.07
"young",0.07
