"","trendy"
"clubs",0.13
"upscale",0.12
"gay",0.11
"bars",0.1
"boutiques",0.1
"crowded",0.1
"hip",0.1
"hollywood",0.1
"nightlife",0.1
"art",0.09
"music",0.09
"shopping",0.09
"stores",0.09
"stylish",0.09
"venues",0.09
"artists",0.08
"arts",0.08
"atmosphere",0.08
"bar",0.08
"become",0.08
"boutique",0.08
"bustling",0.08
"city's",0.08
"cuisine",0.08
"dance",0.08
"design",0.08
"designed",0.08
"designer",0.08
"eclectic",0.08
"fashion",0.08
"featuring",0.08
"live",0.08
"nightclubs",0.08
"pint",0.08
"student",0.08
"students",0.08
"avenues",0.07
"busy",0.07
"card",0.07
"clothing",0.07
"cocktail",0.07
"decent",0.07
"definitely",0.07
"expensive",0.07
"fine",0.07
"frequented",0.07
"high-end",0.07
"laid-back",0.07
"lounge",0.07
"menu",0.07
"modern",0.07
"night",0.07
"popular",0.07
"pub",0.07
"real",0.07
"rooftop",0.07
"streets",0.07
"university",0.07
