"","vessels"
"cargo",0.14
"ships",0.11
"cruising",0.1
"islands",0.09
"passage",0.09
"ship",0.09
"harbour",0.08
"port",0.08
"sailing",0.08
"underwater",0.08
"cruise",0.07
"lawrence",0.07
"yachts",0.07
