"","late"
"early",0.21
"century",0.13
"buildings",0.11
"closed",0.11
"night",0.11
"dance",0.1
"held",0.1
"often",0.1
"open",0.1
"since",0.1
"afternoon",0.09
"building",0.09
"especially",0.09
"even",0.09
"gothic",0.09
"may",0.09
"music",0.09
"now",0.09
"october",0.09
"still",0.09
"usually",0.09
"always",0.08
"art",0.08
"avoid",0.08
"baroque",0.08
"bars",0.08
"began",0.08
"built",0.08
"catholic",0.08
"clubs",0.08
"collection",0.08
"common",0.08
"evening",0.08
"events",0.08
"every",0.08
"fine",0.08
"first",0.08
"floor",0.08
"friday",0.08
"june",0.08
"menu",0.08
"mid",0.08
"middle",0.08
"morning",0.08
"opened",0.08
"pay",0.08
"range",0.08
"rush",0.08
"show",0.08
"streets",0.08
"style",0.08
"throughout",0.08
"ticket",0.08
"till",0.08
"time",0.08
"used",0.08
"work",0.08
"became",0.07
"card",0.07
"city's",0.07
"decorated",0.07
"depending",0.07
"elements",0.07
"event",0.07
"festival",0.07
"found",0.07
"free",0.07
"generally",0.07
"include",0.07
"july",0.07
"large",0.07
"last",0.07
"later",0.07
"live",0.07
"march",0.07
"modern",0.07
"note",0.07
"number",0.07
"offer",0.07
"parking",0.07
"preserves",0.07
"prices",0.07
"rate",0.07
"rather",0.07
"saturday",0.07
"season",0.07
"selection",0.07
"shopping",0.07
"summer",0.07
"tend",0.07
"traffic",0.07
"venues",0.07
"without",0.07
