"","feel"
"like",0.16
"make",0.14
"sure",0.12
"will",0.12
"always",0.11
"different",0.11
"even",0.11
"find",0.11
"prices",0.11
"want",0.11
"'re",0.1
"ask",0.1
"atmosphere",0.1
"buy",0.1
"enjoy",0.1
"especially",0.1
"friendly",0.1
"look",0.1
"may",0.1
"pay",0.1
"people",0.1
"price",0.1
"really",0.1
"sit",0.1
"usually",0.1
"without",0.1
"'ll",0.09
"almost",0.09
"asking",0.09
"avoid",0.09
"bars",0.09
"better",0.09
"cheaper",0.09
"check",0.09
"come",0.09
"definitely",0.09
"drink",0.09
"drivers",0.09
"everything",0.09
"experience",0.09
"food",0.09
"give",0.09
"good",0.09
"great",0.09
"keep",0.09
"know",0.09
"looking",0.09
"might",0.09
"much",0.09
"need",0.09
"night",0.09
"offer",0.09
"often",0.09
"police",0.09
"quite",0.09
"staff",0.09
"try",0.09
"work",0.09
"worth",0.09
"'s",0.08
"able",0.08
"although",0.08
"anyone",0.08
"anything",0.08
"aware",0.08
"back",0.08
"bar",0.08
"best",0.08
"bit",0.08
"cards",0.08
"cheap",0.08
"coffee",0.08
"common",0.08
"consider",0.08
"cost",0.08
"depending",0.08
"dishes",0.08
"drinks",0.08
"driver",0.08
"every",0.08
"expect",0.08
"expensive",0.08
"extremely",0.08
"finding",0.08
"free",0.08
"generally",0.08
"get",0.08
"getting",0.08
"go",0.08
"hard",0.08
"just",0.08
"less",0.08
"likely",0.08
"locals",0.08
"made",0.08
"makes",0.08
"modern",0.08
"money",0.08
"nice",0.08
"outside",0.08
"paying",0.08
"pick",0.08
"place",0.08
"quality",0.08
"real",0.08
"right",0.08
"safe",0.08
"say",0.08
"sell",0.08
"shops",0.08
"someone",0.08
"something",0.08
"sometimes",0.08
"spend",0.08
"stay",0.08
"still",0.08
"streets",0.08
"time",0.08
"tourists",0.08
"trying",0.08
"unlikely",0.08
"use",0.08
"walking",0.08
"way",0.08
"women",0.08
"accept",0.07
"another",0.07
"around",0.07
"authentic",0.07
"beer",0.07
"buying",0.07
"card",0.07
"charge",0.07
"choose",0.07
"compared",0.07
"day",0.07
"door",0.07
"front",0.07
"full",0.07
"fun",0.07
"happy",0.07
"help",0.07
"inside",0.07
"intend",0.07
"least",0.07
"let",0.07
"little",0.07
"making",0.07
"many",0.07
"never",0.07
"nightlife",0.07
"perfect",0.07
"play",0.07
"put",0.07
"rather",0.07
"ready",0.07
"reasonable",0.07
"relatively",0.07
"remember",0.07
"see",0.07
"short",0.07
"sitting",0.07
"tell",0.07
"things",0.07
"though",0.07
