"","salads"
"sandwiches",0.16
"menu",0.15
"soups",0.14
"pizza",0.13
"appetizers",0.12
"selection",0.12
"desserts",0.11
"lunch",0.11
"pizzas",0.11
"cafe",0.1
"deli",0.1
"dishes",0.1
"italian",0.1
"casual",0.09
"dining",0.09
"music",0.09
"patio",0.09
"atmosphere",0.08
"bar",0.08
"breakfast",0.08
"coffee",0.08
"crust",0.08
"downtown",0.08
"favorite",0.08
"food",0.08
"fresh",0.08
"gourmet",0.08
"great",0.08
"grilled",0.08
"homemade",0.08
"live",0.08
"open",0.08
"outdoor",0.08
"parking",0.08
"pasta",0.08
"pastas",0.08
"portions",0.08
"restaurant",0.08
"specials",0.08
"upscale",0.08
"variety",0.08
"veggie",0.08
"choices",0.07
"classic",0.07
"delicious",0.07
"free",0.07
"friendly",0.07
"indoor",0.07
"mix",0.07
"offers",0.07
"salad",0.07
"serves",0.07
"specialty",0.07
"steak",0.07
"store",0.07
"tasty",0.07
"vegetarian",0.07
