"","acres"
"acre",0.15
"miles",0.14
"picnic",0.13
"phone",0.12
"golf",0.11
"park",0.11
"tennis",0.11
"trails",0.11
"woodland",0.11
"indoor",0.1
"inn",0.1
"mile",0.1
"rd",0.1
"state",0.1
"wooded",0.1
"county",0.09
"fitness",0.09
"outdoor",0.09
"wildlife",0.09
"-site",0.08
"arts",0.08
"basketball",0.08
"creek",0.08
"dining",0.08
"features",0.08
"featuring",0.08
"feet",0.08
"gift",0.08
"heated",0.08
"historic",0.08
"hollow",0.08
"home",0.08
"homemade",0.08
"nestled",0.08
"open",0.08
"united",0.08
"whirlpool",0.08
"athletic",0.07
"ave",0.07
"family",0.07
"farm",0.07
"pond",0.07
"preserve",0.07
"suites",0.07
"variety",0.07
"victorian",0.07
"west",0.07
