"","interstate"
"exit",0.2
"miles",0.2
"state",0.2
"us",0.19
"inn",0.18
"ave",0.17
"county",0.17
"downtown",0.17
"phone",0.17
"route",0.16
"highway",0.15
"amtrak",0.14
"east",0.14
"exits",0.14
"american",0.13
"avenue",0.13
"blvd",0.13
"united",0.13
"west",0.13
"dr",0.12
"motel",0.12
"railroad",0.12
"st",0.12
"transit",0.12
"highways",0.11
"north",0.11
"states",0.11
"york",0.11
"airport'''",0.1
"boston",0.1
"california",0.1
"east-west",0.1
"mall",0.1
"street",0.1
"suites",0.1
"america's",0.09
"center",0.09
"college",0.09
"creek",0.09
"f-sa",0.09
"freeway",0.09
"greyhound",0.09
"grill",0.09
"historic",0.09
"home",0.09
"jefferson",0.09
"mexican",0.09
"new",0.09
"ohio",0.09
"park",0.09
"parkway",0.09
"rd",0.09
"regional",0.09
"runs",0.09
"service",0.09
"south",0.09
"washington",0.09
"baseball",0.08
"campus",0.08
"depot",0.08
"diner",0.08
"features",0.08
"league",0.08
"neighbor",0.08
"pizza",0.08
"recreation",0.08
"retail",0.08
"southwest",0.08
"state's",0.08
"su",0.08
"texas",0.08
"turnpike",0.08
"anchored",0.07
"casino",0.07
"commercial",0.07
"drive",0.07
"fe",0.07
"labor",0.07
"located",0.07
"marriott",0.07
"motels",0.07
"pets",0.07
"steakhouse",0.07
"western",0.07
