"","blvd"
"boulevard",0.26
"angeles",0.25
"ave",0.25
"inn",0.24
"dr",0.23
"suites",0.18
"california",0.16
"downtown",0.15
"grill",0.15
"marriott",0.15
"mexican",0.15
"pkwy",0.15
"upscale",0.15
"mall",0.14
"rd",0.14
"st",0.14
"avenue",0.13
"center",0.13
"f-sa",0.13
"interstate",0.13
"los",0.13
"phone",0.13
"sushi",0.13
"dining",0.12
"freeway",0.12
"su",0.12
"american",0.11
"features",0.11
"ln",0.11
"transit",0.11
"veterans",0.11
"authentic",0.1
"convention",0.1
"fitness",0.1
"florida",0.1
"indoor",0.1
"lunch",0.1
"outdoor",0.1
"patio",0.1
"restaurant",0.1
"sa",0.1
"ana",0.09
"bar",0.09
"burger",0.09
"burgers",0.09
"canyon",0.09
"deli",0.09
"dinner",0.09
"exit",0.09
"featuring",0.09
"free",0.09
"hilton",0.09
"hwy",0.09
"miles",0.09
"movie",0.09
"parkway",0.09
"pizza",0.09
"plaza",0.09
"shopping",0.09
"specials",0.09
"sw",0.09
"west",0.09
"amtrak",0.08
"arts",0.08
"baseball",0.08
"bistro",0.08
"ca",0.08
"cafe",0.08
"casual",0.08
"circle",0.08
"classic",0.08
"county",0.08
"creek",0.08
"food",0.08
"golf",0.08
"hollywood",0.08
"italian",0.08
"library",0.08
"lounge",0.08
"orange",0.08
"park",0.08
"ranch",0.08
"sandwiches",0.08
"serves",0.08
"sports",0.08
"steak",0.08
"steakhouse",0.08
"symphony",0.08
"theater",0.08
"vista",0.08
"wireless",0.08
"campus",0.07
"chain",0.07
"college",0.07
"community",0.07
"cuisine",0.07
"diner",0.07
"east",0.07
"express",0.07
"favorite",0.07
"fun",0.07
"home",0.07
"johnson",0.07
"jose",0.07
"kitchens",0.07
"palm",0.07
"parking",0.07
"rentals",0.07
"se",0.07
"skate",0.07
"street",0.07
"us",0.07
