"","ice"
"cream",0.58
"skating",0.23
"parlor",0.18
"rink",0.17
"hockey",0.16
"flavors",0.15
"homemade",0.13
"pizza",0.13
"winter",0.13
"snow",0.12
"store",0.12
"frozen",0.11
"indoor",0.11
"shop",0.11
"bar",0.1
"delicious",0.1
"outdoor",0.1
"sandwiches",0.1
"sports",0.1
"summer",0.1
"dairy",0.09
"downtown",0.09
"fun",0.09
"great",0.09
"italian",0.09
"lunch",0.09
"open",0.09
"sells",0.09
"variety",0.09
"arena",0.08
"basketball",0.08
"chocolate",0.08
"classic",0.08
"coffee",0.08
"deli",0.08
"events",0.08
"food",0.08
"friends",0.08
"gift",0.08
"gourmet",0.08
"lake",0.08
"live",0.08
"menu",0.08
"music",0.08
"offers",0.08
"restaurant",0.08
"selection",0.08
"stores",0.08
"street",0.08
"american",0.07
"baked",0.07
"bike",0.07
"boston",0.07
"clothing",0.07
"diner",0.07
"family",0.07
"fresh",0.07
"golf",0.07
"kids",0.07
