"","temple"
"lord",0.39
"temples",0.39
"goddess",0.34
"shiva",0.34
"hindu",0.28
"tamil",0.27
"india",0.25
"sri",0.25
"temple'''",0.25
"km",0.22
"famous",0.2
"kms",0.2
"buddhist",0.19
"worship",0.19
"believed",0.18
"rs",0.18
"holy",0.17
"ancient",0.16
"delhi",0.16
"district",0.16
"god",0.16
"said",0.16
"stand",0.16
"connected",0.15
"raja",0.15
"sacred",0.15
"buddha",0.14
"dedicated",0.14
"indian",0.14
"pilgrimage",0.14
"pilgrims",0.14
"railway",0.13
"rickshaws",0.13
"dynasty",0.12
"mumbai",0.12
"nearest",0.12
"rickshaw",0.12
"shrine",0.12
"auto",0.11
"baba",0.11
"built",0.11
"buses",0.11
"complex",0.11
"palace",0.11
"situated",0.11
"vegetarian",0.11
"ac",0.1
"lotus",0.1
"near",0.1
"non",0.1
"pillars",0.1
"place",0.1
"ply",0.1
"reach",0.1
"religious",0.1
"shrines",0.1
"spiritual",0.1
"statues",0.1
"banks",0.09
"bus",0.09
"called",0.09
"dam",0.09
"hill",0.09
"important",0.09
"meditation",0.09
"station",0.09
"statue",0.09
"according",0.08
"available",0.08
"carved",0.08
"celebrated",0.08
"charges",0.08
"distance",0.08
"height",0.08
"images",0.08
"known",0.08
"monsoon",0.08
"nh",0.08
"one",0.08
"pagoda",0.08
"procession",0.08
"rice",0.08
"sanctuary",0.08
"stone",0.08
"survey",0.08
"sweet",0.08
"sweets",0.08
"tibetan",0.08
"till",0.08
"bank",0.07
"chinese",0.07
"emperor",0.07
"express",0.07
"fort",0.07
"gate",0.07
"hence",0.07
"lodges",0.07
"mango",0.07
"pure",0.07
"rulers",0.07
"serene",0.07
"trek",0.07
