"","lava"
"volcano",0.29
"volcanic",0.21
"crater",0.19
"active",0.14
"flows",0.1
"ash",0.08
"formed",0.08
"summit",0.08
"threat",0.08
"thrown",0.08
"zones",0.08
"level",0.07
"rim",0.07
"safety",0.07
