"","tell"
"driver",0.23
"ask",0.17
"know",0.15
"drivers",0.14
"will",0.14
"pay",0.13
"cards",0.11
"cost",0.11
"keep",0.11
"may",0.11
"try",0.11
"want",0.11
"asking",0.1
"cheaper",0.1
"currency",0.1
"find",0.1
"give",0.1
"go",0.1
"locals",0.1
"make",0.1
"need",0.1
"negotiate",0.1
"price",0.1
"say",0.1
"sure",0.1
"taxi",0.1
"usually",0.1
"without",0.1
"accept",0.09
"always",0.09
"avoid",0.09
"buying",0.09
"charge",0.09
"conductor",0.09
"expect",0.09
"expensive",0.09
"foreign",0.09
"get",0.09
"going",0.09
"guides",0.09
"hard",0.09
"likely",0.09
"money",0.09
"much",0.09
"passport",0.09
"someone",0.09
"taxis",0.09
"visa",0.09
"'re",0.08
"able",0.08
"anywhere",0.08
"aware",0.08
"better",0.08
"bit",0.08
"buy",0.08
"card",0.08
"come",0.08
"common",0.08
"costs",0.08
"credit",0.08
"difficult",0.08
"drop",0.08
"exchange",0.08
"fixed",0.08
"foreigners",0.08
"guide",0.08
"help",0.08
"illegal",0.08
"insist",0.08
"leave",0.08
"let",0.08
"might",0.08
"note",0.08
"often",0.08
"paying",0.08
"people",0.08
"police",0.08
"polite",0.08
"prices",0.08
"probably",0.08
"rate",0.08
"refuse",0.08
"right",0.08
"security",0.08
"sometimes",0.08
"speak",0.08
"story",0.08
"tipping",0.08
"touts",0.08
"wait",0.08
"walk",0.08
"women",0.08
"work",0.08
"'ll",0.07
"asked",0.07
"catch",0.07
"cheap",0.07
"debit",0.07
"drink",0.07
"embassy",0.07
"english",0.07
"enter",0.07
"even",0.07
"extra",0.07
"fee",0.07
"feel",0.07
"fill",0.07
"getting",0.07
"helpful",0.07
"instead",0.07
"left",0.07
"person",0.07
"quite",0.07
"rarely",0.07
"really",0.07
"safe",0.07
"see",0.07
"sell",0.07
"sign",0.07
"sim",0.07
"something",0.07
"take",0.07
"talk",0.07
"tend",0.07
"time",0.07
"willing",0.07
