"","former"
"building",0.14
"now",0.14
"soviet",0.13
"church",0.12
"history",0.12
"museum",0.12
"built",0.11
"housed",0.11
"war",0.11
"buildings",0.1
"century",0.1
"collection",0.1
"jewish",0.1
"residence",0.1
"became",0.09
"capital",0.09
"city's",0.09
"exhibition",0.09
"german",0.09
"hall",0.09
"historic",0.09
"military",0.09
"old",0.09
"remains",0.09
"still",0.09
"tower",0.09
"used",0.09
"castle",0.08
"chapel",0.08
"converted",0.08
"cultural",0.08
"gothic",0.08
"home",0.08
"industrial",0.08
"memorial",0.08
"modern",0.08
"oldest",0.08
"palace",0.08
"part",0.08
"president",0.08
"rebuilt",0.08
"art",0.07
"centre",0.07
"closed",0.07
"contains",0.07
"heritage",0.07
"houses",0.07
"later",0.07
"latter",0.07
"monument",0.07
"orthodox",0.07
"political",0.07
"protestant",0.07
"roman",0.07
"since",0.07
"site",0.07
"today",0.07
"world",0.07
