"","cheaper"
"expensive",0.21
"prices",0.18
"cost",0.17
"price",0.17
"pay",0.16
"tickets",0.16
"better",0.15
"buy",0.15
"cheap",0.15
"much",0.15
"usually",0.15
"avoid",0.14
"card",0.14
"charge",0.14
"costs",0.14
"driver",0.14
"drivers",0.14
"even",0.14
"money",0.14
"note",0.14
"often",0.14
"sometimes",0.14
"ticket",0.14
"visa",0.14
"ask",0.13
"cards",0.13
"especially",0.13
"generally",0.13
"hotels",0.13
"might",0.13
"need",0.13
"option",0.13
"quite",0.13
"slightly",0.13
"tend",0.13
"accept",0.12
"bars",0.12
"book",0.12
"budget",0.12
"buses",0.12
"buying",0.12
"cheapest",0.12
"compared",0.12
"expect",0.12
"foreign",0.12
"may",0.12
"night",0.12
"passport",0.12
"paying",0.12
"staff",0.12
"taxi",0.12
"taxis",0.12
"want",0.12
"will",0.12
"without",0.12
"'re",0.11
"'s",0.11
"although",0.11
"always",0.11
"atms",0.11
"bit",0.11
"bought",0.11
"change",0.11
"clean",0.11
"currency",0.11
"depending",0.11
"drink",0.11
"english",0.11
"fares",0.11
"find",0.11
"fixed",0.11
"foreigners",0.11
"free",0.11
"get",0.11
"go",0.11
"good",0.11
"higher",0.11
"hostels",0.11
"internet",0.11
"least",0.11
"less",0.11
"longer",0.11
"make",0.11
"offer",0.11
"police",0.11
"rate",0.11
"rates",0.11
"sell",0.11
"sure",0.11
"though",0.11
"travel",0.11
"try",0.11
"use",0.11
"valid",0.11
"wait",0.11
"almost",0.1
"another",0.1
"available",0.1
"bargain",0.1
"beware",0.1
"booking",0.1
"bus",0.1
"common",0.1
"companies",0.1
"countries",0.1
"credit",0.1
"crowded",0.1
"discount",0.1
"dishes",0.1
"embassy",0.1
"european",0.1
"exchange",0.1
"extra",0.1
"fare",0.1
"friendly",0.1
"front",0.1
"know",0.1
"leave",0.1
"like",0.1
"likely",0.1
"locals",0.1
"look",0.1
"lot",0.1
"mobile",0.1
"rarely",0.1
"rather",0.1
"remember",0.1
"rooms",0.1
"sim",0.1
"simply",0.1
