"","oct"
"apr",0.34
"sep",0.22
"tu-su",0.16
"nov",0.13
"aug",0.12
"finger",0.11
"mar",0.11
"abbey",0.09
"closes",0.09
"dec",0.09
"feb",0.09
"su",0.09
"child",0.08
"closed",0.08
"hospital",0.08
"saving",0.08
