"","sauce"
"spicy",0.3
"sauces",0.19
"noodle",0.17
"fried",0.15
"garlic",0.14
"noodles",0.14
"slices",0.14
"shrimp",0.13
"soup",0.13
"beef",0.12
"chili",0.12
"dish",0.12
"pork",0.12
"roasted",0.12
"chicken",0.11
"egg",0.11
"fermented",0.11
"meat",0.11
"rice",0.11
"sweet",0.11
"eaten",0.1
"lime",0.1
"made",0.1
"sour",0.1
"tomato",0.1
"boiled",0.09
"coconut",0.09
"dishes",0.09
"fish",0.09
"hottest",0.09
"indonesia",0.09
"milk",0.09
"peanut",0.09
"topped",0.09
"dried",0.08
"extra",0.08
"grilled",0.08
"instead",0.08
"pepper",0.08
"secret",0.08
"served",0.08
"taste",0.08
"ubiquitous",0.08
"wings",0.08
"added",0.07
"cooked",0.07
"dough",0.07
"flavored",0.07
"malaysia",0.07
"often",0.07
"raw",0.07
"salad",0.07
"usually",0.07
"wrapped",0.07
