"","sydney"
"australian",0.2
"australia",0.18
"south",0.14
"motor",0.13
"freeway",0.12
"services",0.12
"aboriginal",0.11
"coach",0.11
"default",0.11
"-road",0.1
"highlands",0.1
"new",0.09
"service",0.09
"wales",0.09
"kings",0.08
"nova",0.08
