"","friendly"
"staff",0.29
"clean",0.18
"food",0.18
"good",0.18
"menu",0.18
"rooms",0.18
"atmosphere",0.17
"bar",0.17
"great",0.17
"nice",0.17
"restaurant",0.17
"breakfast",0.16
"night",0.16
"prices",0.16
"room",0.15
"cheap",0.14
"delicious",0.14
"excellent",0.14
"free",0.14
"helpful",0.14
"internet",0.14
"locals",0.14
"owner",0.14
"place",0.14
"relaxed",0.14
"right",0.14
"ask",0.13
"family",0.13
"happy",0.13
"offers",0.13
"pool",0.13
"reasonable",0.13
"selection",0.13
"sure",0.13
"'s",0.12
"always",0.12
"bathroom",0.12
"bit",0.12
"dorm",0.12
"drinks",0.12
"fresh",0.12
"just",0.12
"make",0.12
"offer",0.12
"offering",0.12
"private",0.12
"try",0.12
"walk",0.12
"'re",0.11
"bars",0.11
"best",0.11
"budget",0.11
"coffee",0.11
"dishes",0.11
"double",0.11
"expensive",0.11
"find",0.11
"hostel",0.11
"hotel",0.11
"little",0.11
"live",0.11
"lunch",0.11
"music",0.11
"owners",0.11
"price",0.11
"pub",0.11
"quiet",0.11
"really",0.11
"run",0.11
"serves",0.11
"spacious",0.11
"tasty",0.11
"variety",0.11
"vegetarian",0.11
"want",0.11
"wifi",0.11
"'ll",0.1
"authentic",0.1
"beer",0.1
"book",0.1
"cafe",0.1
"cheaper",0.1
"cocktails",0.1
"dining",0.1
"dinner",0.1
"dorms",0.1
"drink",0.1
"english",0.1
"expect",0.1
"fan",0.1
"fantastic",0.1
"feel",0.1
"front",0.1
"full",0.1
"fun",0.1
"help",0.1
"laundry",0.1
"local",0.1
"lounge",0.1
"lovely",0.1
"meal",0.1
"meals",0.1
"meet",0.1
"next",0.1
"open",0.1
"opposite",0.1
"pay",0.1
"per",0.1
"quality",0.1
"set",0.1
"shop",0.1
"simple",0.1
"table",0.1
"tv",0.1
"walking",0.1
"will",0.1
"worth",0.1
"air-con",0.09
"back",0.09
"beers",0.09
"behind",0.09
"block",0.09
"boutique",0.09
"buy",0.09
"choice",0.09
"cocktail",0.09
"corner",0.09
"cost",0.09
"day",0.09
"decent",0.09
"eat",0.09
"extra",0.09
"extremely",0.09
"fruit",0.09
"garden",0.09
"give",0.09
"go",0.09
"guest",0.09
"guesthouse",0.09
"guests",0.09
"kitchen",0.09
"like",0.09
"look",0.09
"looking",0.09
"might",0.09
"money",0.09
"nights",0.09
"order",0.09
"patio",0.09
"perfect",0.09
"person",0.09
"pick",0.09
"pizzas",0.09
"pleasant",0.09
"priced",0.09
"real",0.09
"rooftop",0.09
"seafood",0.09
"sell",0.09
"serve",0.09
"service",0.09
"serving",0.09
"shared",0.09
"sit",0.09
"spend",0.09
"stay",0.09
"style",0.09
"swimming",0.09
"tables",0.09
"terrace",0.09
"usually",0.09
"value",0.09
"views",0.09
"welcoming",0.09
"well",0.09
"wide",0.09
"arrange",0.08
"avoid",0.08
"balcony",0.08
"bathrooms",0.08
"beautiful",0.08
"better",0.08
"big",0.08
"blocks",0.08
"booking",0.08
"buffet",0.08
"bungalows",0.08
"check",0.08
"chef",0.08
"close",0.08
"come",0.08
"cosy",0.08
"couple",0.08
"cozy",0.08
"crowd",0.08
"cuisine",0.08
"dance",0.08
"driver",0.08
"drivers",0.08
"enjoy",0.08
"evening",0.08
"every",0.08
"everything",0.08
"experience",0.08
"get",0.08
"hand",0.08
"homemade",0.08
"hot",0.08
"house",0.08
"included",0.08
"including",0.08
"italian",0.08
"know",0.08
"large",0.08
"lots",0.08
"makes",0.08
"manager",0.08
"market",0.08
"meat",0.08
"modern",0.08
"often",0.08
"outside",0.08
"owned",0.08
"pizza",0.08
"popular",0.08
"pretty",0.08
"quick",0.08
"quite",0.08
"range",0.08
"rates",0.08
"seating",0.08
"seem",0.08
"shops",0.08
"short",0.08
"show",0.08
"slightly",0.08
"speaks",0.08
"street",0.08
"streets",0.08
"thai",0.08
"tour",0.08
"tourists",0.08
"tours",0.08
"wait",0.08
"warm",0.08
"wi-fi",0.08
"wonderful",0.08
"available",0.07
"bed",0.07
"benches",0.07
"bring",0.07
"call",0.07
"cash",0.07
"charge",0.07
"cheapest",0.07
"customers",0.07
"definitely",0.07
"door",0.07
"especially",0.07
"even",0.07
"fine",0.07
"floor",0.07
"luxury",0.07
"may",0.07
"mix",0.07
"motorbike",0.07
"office",0.07
"option",0.07
"outdoor",0.07
"people",0.07
"plenty",0.07
"relax",0.07
"rent",0.07
"safe",0.07
"salad",0.07
"salads",0.07
"speaking",0.07
"start",0.07
"suite",0.07
"tend",0.07
"toilet",0.07
"upscale",0.07
"vegan",0.07
"view",0.07
"watch",0.07
"welcome",0.07
"willing",0.07
"wireless",0.07
"without",0.07
"young",0.07
