"","square"
"building",0.13
"church",0.11
"hall",0.11
"market",0.11
"shopping",0.11
"square'''",0.11
"streets",0.11
"buildings",0.1
"city's",0.1
"main",0.1
"art",0.09
"baroque",0.09
"block",0.09
"built",0.09
"center",0.09
"central",0.09
"corner",0.09
"floor",0.09
"houses",0.09
"old",0.09
"street",0.09
"style",0.09
"theatre",0.09
"tower",0.09
"walls",0.09
"cathedral",0.08
"century",0.08
"concerts",0.08
"events",0.08
"facade",0.08
"floors",0.08
"fountain",0.08
"gallery",0.08
"mall",0.08
"medieval",0.08
"modern",0.08
"monument",0.08
"museum",0.08
"music",0.08
"opera",0.08
"renovated",0.08
"squares",0.08
"stores",0.08
"students",0.08
"theater",0.08
"university",0.08
"architect",0.07
"blocks",0.07
"collection",0.07
"designed",0.07
"downtown",0.07
"exhibition",0.07
"free",0.07
"gothic",0.07
"inside",0.07
"oldest",0.07
"pedestrian",0.07
"shops",0.07
"statue",0.07
