"","memorial"
"labor",0.21
"war",0.17
"veterans",0.15
"museum",0.12
"park",0.11
"american",0.1
"died",0.1
"hall",0.1
"inn",0.1
"library",0.1
"soldiers",0.1
"state",0.1
"cemetery",0.09
"exhibits",0.09
"historic",0.09
"house",0.09
"monument",0.09
"phone",0.09
"st",0.09
"victims",0.09
"art",0.08
"arts",0.08
"college",0.08
"columbus",0.08
"former",0.08
"history",0.08
"killed",0.08
"mansion",0.08
"memory",0.08
"miles",0.08
"performing",0.08
"street",0.08
"weekend",0.08
"ave",0.07
"downtown",0.07
"erected",0.07
"features",0.07
"m-sa",0.07
"new",0.07
"picnic",0.07
"site",0.07
"university",0.07
