"","across"
"bridge",0.15
"right",0.12
"border",0.11
"side",0.11
"walk",0.11
"just",0.1
"make",0.1
"may",0.1
"river",0.1
"views",0.1
"along",0.09
"crossing",0.09
"directly",0.09
"even",0.09
"ferry",0.09
"look",0.09
"past",0.09
"short",0.09
"street",0.09
"sure",0.09
"'ll",0.08
"behind",0.08
"cross",0.08
"downtown",0.08
"end",0.08
"english",0.08
"food",0.08
"little",0.08
"locations",0.08
"often",0.08
"prices",0.08
"ride",0.08
"runs",0.08
"selection",0.08
"sometimes",0.08
"throughout",0.08
"traffic",0.08
"'re",0.07
"although",0.07
"always",0.07
"bank",0.07
"better",0.07
"block",0.07
"cards",0.07
"cheap",0.07
"check",0.07
"coffee",0.07
"door",0.07
"expect",0.07
"friendship",0.07
"generally",0.07
"great",0.07
"head",0.07
"including",0.07
"keep",0.07
"larger",0.07
"left",0.07
"makes",0.07
"near",0.07
"next",0.07
"passengers",0.07
"popular",0.07
"see",0.07
"serving",0.07
"travel",0.07
"usually",0.07
"walking",0.07
"want",0.07
"watch",0.07
"will",0.07
"without",0.07
