"","fitness"
"indoor",0.3
"suites",0.23
"business",0.19
"free",0.18
"heated",0.18
"pool",0.18
"whirlpool",0.18
"wireless",0.17
"-site",0.16
"inn",0.16
"marriott",0.16
"meeting",0.16
"outdoor",0.16
"high-speed",0.14
"mall",0.14
"tennis",0.14
"dining",0.13
"amenities",0.12
"avenue",0.12
"features",0.12
"internet",0.12
"jacuzzi",0.12
"laundry",0.12
"-room",0.11
"breakfast",0.11
"center",0.11
"downtown",0.11
"exercise",0.11
"gym",0.11
"lounge",0.11
"street",0.11
"su",0.11
"swimming",0.11
"ave",0.1
"bar",0.1
"blvd",0.1
"conference",0.1
"deluxe",0.1
"f-sa",0.1
"phone",0.1
"restaurant",0.1
"rooms",0.1
"upscale",0.1
"acres",0.09
"arts",0.09
"basketball",0.09
"children's",0.09
"club",0.09
"coin",0.09
"corporate",0.09
"dr",0.09
"equipped",0.09
"featuring",0.09
"full",0.09
"golf",0.09
"grill",0.09
"hotel",0.09
"live",0.09
"offers",0.09
"rd",0.09
"room",0.09
"screen",0.09
"shopping",0.09
"sushi",0.09
"variety",0.09
"cleaning",0.08
"coffee",0.08
"convention",0.08
"courts",0.08
"drive",0.08
"executive",0.08
"exit",0.08
"extended",0.08
"fine",0.08
"fireplace",0.08
"gift",0.08
"guests",0.08
"include",0.08
"miniature",0.08
"movie",0.08
"newspaper",0.08
"park",0.08
"patio",0.08
"pets",0.08
"pro",0.08
"shuttle",0.08
"sports",0.08
"steak",0.08
"suite",0.08
"transit",0.08
"tv",0.08
"american",0.07
"banquet",0.07
"buffet",0.07
"cable",0.07
"casual",0.07
"cuisine",0.07
"desk",0.07
"events",0.07
"facilities",0.07
"friday",0.07
"game",0.07
"hilton",0.07
"hockey",0.07
"italian",0.07
"lcd",0.07
"lunch",0.07
"menu",0.07
"pike",0.07
"pkwy",0.07
"premium",0.07
"st",0.07
"steakhouse",0.07
"theatre",0.07
