"","wide"
"variety",0.32
"range",0.27
"selection",0.2
"offers",0.14
"including",0.13
"offer",0.13
"food",0.12
"array",0.11
"menu",0.11
"popular",0.11
"well",0.11
"always",0.1
"bar",0.1
"excellent",0.1
"large",0.1
"live",0.1
"modern",0.1
"music",0.1
"offering",0.1
"open",0.1
"shopping",0.1
"areas",0.09
"atmosphere",0.09
"available",0.09
"choice",0.09
"common",0.09
"different",0.09
"even",0.09
"find",0.09
"fine",0.09
"free",0.09
"fresh",0.09
"friendly",0.09
"high",0.09
"locations",0.09
"lunch",0.09
"night",0.09
"often",0.09
"quality",0.09
"serves",0.09
"shops",0.09
"stores",0.09
"unique",0.09
"art",0.08
"bars",0.08
"beers",0.08
"clubs",0.08
"coffee",0.08
"crowd",0.08
"cuisine",0.08
"dance",0.08
"delicious",0.08
"dining",0.08
"dishes",0.08
"enjoy",0.08
"european",0.08
"events",0.08
"every",0.08
"experience",0.08
"family",0.08
"features",0.08
"found",0.08
"full",0.08
"fun",0.08
"generally",0.08
"good",0.08
"great",0.08
"imported",0.08
"include",0.08
"indoor",0.08
"keep",0.08
"like",0.08
"local",0.08
"many",0.08
"number",0.08
"opened",0.08
"outdoor",0.08
"parking",0.08
"prepared",0.08
"prices",0.08
"provide",0.08
"pub",0.08
"ranging",0.08
"restaurant",0.08
"something",0.08
"specialize",0.08
"student",0.08
"style",0.08
"sure",0.08
"throughout",0.08
"venues",0.08
"activities",0.07
"addition",0.07
"asian",0.07
"beer",0.07
"best",0.07
"book",0.07
"business",0.07
"card",0.07
"centre",0.07
"cocktail",0.07
"drinks",0.07
"especially",0.07
"floor",0.07
"friday",0.07
"heart",0.07
"italian",0.07
"look",0.07
"lounge",0.07
"made",0.07
"make",0.07
"place",0.07
"play",0.07
"pool",0.07
"reasonable",0.07
"right",0.07
"saturday",0.07
"serving",0.07
"staff",0.07
"streets",0.07
"tend",0.07
